Partner Name,Graph Color,Tier
Amazon,#2E00EC,1
Apple,#F13B59,1
Deezer,#E37FAE,2
Google,#E16D08,1
Other,#DDDDDD,3
Pandora,#1084E4,3
Qobuz,#FDA225,2
Spotify,#23C549,1
Tencent,#1456F7,3
Tidal,#000000,1
TikTok,#2AEFDC,2
Yandex,#F9BE0B,2
Youtube,#FB0006,2
